reviews,Judgement
Like it,0
This app crashes frequently. I love it but I may switch over to basic twitter for iPad.,1
"I have an iPhone 5. The scans here are the clearest I've gotten. Tried a few and no luck. I got amazing results with this app!! Easy to use, no watermark, emails fast. Love it!!!!!!!!",1
C- crashes a lot. R- reloads and crash again. A- after reinstalling crash. S- Super CrashH- halfway there. Then crash.,1
L. Try this app.,0
great apps..thanks a lot more power,0
Love It!! High 5!!,0
It used to have many colors. Words overlap on my phone. It says I have tweets but when I click to see them it says its empty.,1
"Not as good as Twitter app, unfortunately.",0
Good game,0
Thanks lot,0
Best thing ever! Thank you now I can talk to my family overseas!,1
Easy to use... I've seen the light 😃 and it's coming from Tiny Scan!!,0
Its fine,0
"PAC-MAN's power. Amazing!!!!,i shot the ghost with laser,BOOM!!!!.Deathly shooter,watch out the glicth you can die,i can die if the Gray Ghost   woke up from sleep.....!!!!,get the Energy Ball for kill the Gray  Ghost or use a power from PAC-MAN,dont use cheat ,if you use a cheat you SUCK.😈",1
i have a lot of fun but I'm stuck because on one of the house of the dead tracks in some areas all I see is my cart and everything is so dark it's pitch black and i end up crashing and falling and i can not progress further because of it.,1
The best app Guys the best app ever. I recommend it :-).,0
Great Works very well,0
So handy Great when you need an electronic version of a document. Extremely useful when so much is done via email and cloud. Image quality is okay and of course dependent on the original.,0
Notification problem I am back to loving this app fully :),1
recent issues all resolved,0
I like it. And it's Free,0
Accelerometer use is WAY too sensitive.,1
"Keeps getting better, new list update works very well. In over 30 years of using and writing software I have never seen as well thought out design and implementation. Like all products there are small bugs and limitations, especially on small screens, but the amazing technology far outweighs the inconveniences. Not many realize the hidden gems in the OneNote ecosystem - smartphone photos with text have OCR applied, sync across platforms is almost instantaneous due to not using platform OS to store data (custom database .one files are outstanding), collaboration allows simultaneous editing with Google Wave like ease, hyperlinks and embedding allow any type info to be stored and accessed, excellent organization strategy of notebooks, pages, and subpages is fully indexed and searchable, etc., etc., etc. MS is ahead of the competition with this product.",1
Still the best I've tried lots of Twitter clients but this one combines tons of powerful tools with an uncluttered design and support for phones and tablets. Not as pretty as newer competitors like Carbon or falcon pro but way more usable.,1
"Better on a computer I loved the flexibility and ability to share and sync across platforms,  but the limited capabilities of the mobile app make me question if it's worth it.  S Note or Evernote  are much more flexible and user friendly.",1
The Best,0
Just downloaded this app & its saying Ive exceeded the twitter limit.,1
I especially like it is truly cross platform. I prefer it to Evernote.,0
"""This app is using a lot of battery."" Google gives me this update shortly after I open the app, without fail, since the latest update. Is this a known issue?",1
Please update so when I send a tweet it doesn't crash.,1
One note Can't even tell you how much this app makes my life so much easier! I'm always on the go and to be able to work on the go is a necessity. Microsoft has all the tools I need. :),1
Very very very very very beautiful,0
Very nice connection including FaceTime. Tried for the first time between USA and Dubai. Recommend for others to try out Viber.,1
Works just fine for me!!!!!!,0
Constantly crashing. There has never been a time I tried to tweet or update my timeline without a crash. It also  needs push notifications. Definitely switching back to the regular twitter app.,1
I can't believe how clear the reception is !!!! No more calling cards!!!,1
Please update it soon. It crashes too often.,1
Loved the new interface and improvements,1
Good app,0
Great,0
Like this app but wish it had push notifications. Will rate higher when updated.,1
Updated rating: (4 star) it finally worked. It initially kept giving me error message while trying to sign in. I just kept trying repeatedly; until finally it went through.. And now it works perfectly. Keep trying folks..However I would like to know-how to add notes on main screen. It just shows Personal(web) on the main screen and I don't see an option to add lists. I do see a screenshot in the app store showing several notes on main page. Previous rating: (1 star)Gives an Error message everytime I try to log in. Someone please tell me how to fix this??,1
"Good, Useful app, well done !",0
"Sonic and sega racing is great on a console, not here. They managed to take all of the fun out of it and instead put in TERRIBLE controls, bland tracks, and decided to not add music during the racing. Not to mention the brutal missions thanks to overwhelming glitches. If you've played the real game, don't bother with this.",1
;),0
If you need to scan stuff this is the app for it.  Have used it for several years and makes my workflow so quickly.  Especially useful for scanning items bound in folders.,1
"This app was great for the first month or two. Now whenever I try to open one of my notes, it says, Syncing Error. Edits saved to SkyDrive. I've been trying to access this note for FOUR DAYS now. I have tried deleting theapp, signing out, refreshing, going to Skydrive, and doing every thing I can to have my note show up! Every time I click on it, like a few lines will show up and the rest is just blanks and the note is all messed up. I am literally in TEARS because that was an IMPORTANT note and it isn't syncing. It's so ridiculous. I can't even copy the text on the note to place it somewhere else. I am so sick of this. I have THREE BARS and full Wi-Fi yet it still won't sync. This app has me in tears because I may never get my important note back.",1
"Since I got the upgrade, the app closes unexpectedly, the bottom bar doesn't work, and it's overall sucky. Please do something to fix this, because I'm ready to find a new twitter app.",1
The best app in the world,0
Having this as an iOS app I can now access ally notes on all my devices.,1
Good,0
