reviews,Judgement
Add nights,useless
L,useless
Uninstalled. No immersive mode. Latest update crashing Uninstalled. No immersive mode. Latest update crashing,useful
Interaction takes ages to load,useful
Ppl!! It's terrific! Love it,useless
Great game. It crashes a lot but I can usually still do time trials missions and solo races. And everyone needs to stop saying to fix it ASAP. It's not that easy of a thing to fix.,useful
"S5 & Surface Pro2 user Love this on PC, but cannot get it to sync with android. Will delete if this doesn't get fixed soon!",useful
"This is a home run from Microsoft in business productivity apps very long after their Office suite. Only been using for a week but does everything I need, except being able to draw on an iPad (hence 4 stars). Maybe they also include handwriting to text and audio notes, but that might take away they simplicity in usage.",useful
Encrypted pages are not supported. Encrypted notebooks are not supported.,useful
Best apps 10/10,useless
It works so far!,useless
"Even with service, it'll still fail to send tweets. Fix yourself.",useful
Made my first call with the app. Worked perfectly.,useless
"If you use Mac OS X and iOS mobile, this is the best app for functionality And features. integration across devices is better. It's more intuitive than Evernote.",useful
"Only one gripe I only have one gripe with the app in that you can't tell whether someone has RTed or Favourited your tweet without going into separate menus, I like to have all mention/RT/Fave notifications in one place together. Unless I'm being absolutely stupid, in which cade feel free to correct me, that is the only thing stopping me awarding it 5 stars.",useful
Screen downsized?? Too Much screen at top now being used!!    Dislike a lot,useful
Pacman Its awsome,useless
Great old school look with a touch of new features,useless
This app is amazing!! Especially for all you college students which I'm one of those myself. I love this app because when I'm at home I access my notes from my iPad and when I'm at school and forget my iPad I always have my phone so I can literally take notes on my phone and they will appear on my iPad!!,useful
"Great app but how am I supposed to know when someone tweets me if I am not notified when I have a tweet? The app NEEDS a ringtone of some sort when I'm not using the app and my phone is locked, or I'm in another app.",useful
Arabic language is not supported  The characters appear separated and in the right (FALSE) direction    Please Fix that!,useful
Its ok not the best app,useless
Wow its so nice app...,useless
Can't access settings or feedback What good is an application if you can't change the settings or send feedback through it? I have the same problem with office lens. Typical arrogant Microsoft.,useful
Awsome,useless
"I just started using Viber. The connection wasn't clear all the time, and I got disconnected once. I plan to keep using it regularly and will come back to make additional comments.",useful
Has gotten better over the years But the widget needs some love. I wish it showed all 140 characters.,useful
It's good but If I received a local call i lose Viber connection. I will gave 4 stars,useful
Great for messaging but voice quality issues at times need to b corrected.,useful
This works on a limited basis.  Works well for retrieval of notes and is ok with entry of notes.  Ability to handwrite notes would be great and handwriting recognition would be incredible.  I would pay for an iPad app with more functionality but this works fine for free.,useful
viber very good,useless
It is very awesome !! Thank you so much.,useless
It would even b better if we can have the choice to add our friends on viber rather than have them all on the list at setup.,useless
"This is a really good app so far. The phone calls are clear most of the time. Better than sprint provider. I have to pay for sprint calls and calls are echo-ey and can hear others conversations some times! Keep it up, Viber!",useful
Best program for Twitter This has been the best program I've ever used for Twitter. Tech support is quick and helpful.,useful
"I've been looking for a simple and cheap way to call cellphones in other countries for many years.. Viber made my day! The only thing, I use it with my iPad quite often and since it's not optimized for the ipad display it looks a bit cheap on an ipad. maybe you can make it universal or add an HD version?",useful
i like the game when it lets me play but mostly all the time it just kicks me out of the game and goes back to my home-screen!!!! IT NEEDS A FIX BIG TIME!!!!!!!😭,useful
Tiny scan Great app very simple and helpful,useless
GREAT,useless
Couldn't stay organized without it,useless
Love it. Does what it does and does it well.,useless
"Great game! Fun game, my kids love it. I like that me my wife and two kids can play together over WiFi. Daddy always wins, lol daddy has years of experience like Mario kart 64 and GoldenEye 64, which I still play twice a week.Crash racing is a good game as well!",useless
When my phone was inoperable this app was an absolute savior!!!,useless
How can you get  loud ring.tone. Dorothy Beatty,useless
OneNote is an indispensable app. Combine it with OneDrive and you gave a nice workflow. Well done.,useful
I have trouble with video call.. Need Help!!,useless
ParbejPritu Myself,useless
Very nice app. Saves me a bundle. Clear voice and good connections. A must have for all international travelers.,useless
If I had a dollar for every time,useless
"Just made my first viber call to a friend in London on her way to Brighton in a bus. She's got a British number. The quality was absolutely OUTSTANDING. We were both totally amazed.  Much better than google voice, which I also use. If more of my friends used viber, I would ditch my cell plan altogether.",useful
Great app.  Love that I can scan several different items and it creates a PDF.,useless
"Does not want to sync, or takes forever The App works fine by itself, but if you want to sync with anything. good luck. takes hours on wifi and even then majority of the time AND then decides to error out. has been re-installed multiple times, on Android 4.4 up to recent 5.",useful
"This app was recommended to me by my boss to send information more efficiently, its saves me time off my already busy work shift. I love it.",useful
I cannot get it to work. I get an error message and cannot view my timeline or anything. Please fix!,useful
Fun fun fun This game is great,useless
"New tweet notification I disabled the 'Notify on new tweets', but it keeps giving me notification when there're new tweets in my timeline. Please fix that!",useful
"Did work, but when you fix something not broke.... My uncle would have fired you.Go back to old system leave it alone.",useful
Excellent app,useless
"i have a ipad 1 also and it crashes a lot too. but they are going to make an update as soon as possible so calm down! i got to play atleast the first race so far , and it looks like a great game ! dont judge a book by its cover :c",useful
Need to add more stuff Some of the stuff don't work,useless
"Unusable now Loved this app and been using since long time, but suddenly I can't load more tweets, just shows last 1hr or so tweets. This is unusable now. Switching to some other app.",useful
"This app is great! I can talk to friends all over the world for free!!! Sound quality is usually pretty good, however, this does depend on how much signal you are getting at the time. I've only had a few dropped calls and it was because I lost service. I use it both on 3G and wifi. Great product!",useful
In Freetown; Sierra Leone best way to stay in touch with my family in the USA.Thank you Viber,useless
MS you must have an authentication problem between live I'd and iPhone with the onenote server.  I use onenote at my office with 2010 version an was hoping to view my notes.  I also use microsoftonline exchange on my iPhone with no issues.  You should include one note with exchange as well. Then you would have something,useful
"Painfully slow Can take up to a minute for the splash screen to go, the app is crashing a lot, takes ages to load up users profiles. This was my favourite app - but I've gone back to their Slices app (which runs at lightening speed)",useful
I would love to know what the game is like. It crashes before starting a race. Wasted money.,useful
It's the best note taking app of all time. Get it.,useless
I've used this app for quite some time on both iPad and iPhone. What I've noticed lately; use the internal browser-crash. Search for a user-crash. Doesn't save your place in the timeline. You guys are going downhill fast. GYST,useful
It's even better than the windows phone app!,useless
