Reviews,Labeler,Useful?,Comments,Original_type
"I give it 5 stars  it almost had everything I could want. Love the feature where I can connect my calendar and feed the forecast into that.  The weather info seems accurate on the current conditions. My one suggestion total fallen precipitation for the day.    
",Romario,1,,mis
"I like this app and I segues to make stronger security by making six digit password and thanks alot    
",Romario,1,,mis
"So far does everything I want it to.     
",Romario,0,,mis
"This app provides a lot of value for my phone and for me. As a math major, I could not ask for a better companion to get through college.    
",Romario,0,,mis
"This is a wonderful app for figuring out what you are looking at.  If you see a bright star or a constellation that you are curious about this app can identify it for you.  Excellent for a leisurely night of star gazing.    
",Romario,0,,mis
"Works well, finds my location and provides accurate data for location    
",Romario,0,,mis
"Works great gives me way more info than my iPhone weather    
",Romario,0,,mis
"Best of them all. Great for travel. Used it for over two years.    
",Romario,0,,mis
"I love this app It gives all the information I need and is easy and intuitive to use. I love the weather alerts that I can customize for what interests me.    
",Romario,0,,mis
"I've got a few astronomy apps on my iPad. I'm very impressed with Star Walk the most. I've also got Starry Night Enthusiast on my PC, which I paid 79 for. This app does everything it does, it's easier to use, especially outdoors on an iPad, and it's was 110 the cost.    
",Romario,0,,mis
"I bought a 1yr subscription after trying some games because I liked the games  puzzles and the app overall, not in response to the claims for improvement in cognition or thinking.     
",Romario,0,,mis
"Absolutely the best weather app. I've tried them all. Irritating though, no matter how many time I write a review they keep pestering me to write one .    
",Romario,1,,mis
"My family loves this app We take it on every camp out, enjoy it in our own yard, and often take it along as a late night learning activity at scout outings. The graphics are amazing and everyone from young to old can appreciate its genius.    
",Romario,0,,mis
"I love this app so much It's seriously amazing.    
",Romario,0,,mis
"Intuitive GUI and impressive graphics. Will give it some action as summer storms approaching    
",Romario,0,,mis
"Love playing the games, noticing strengths and aiming to improve my performance the next time. It's always fun which keeps me coming back    
",Romario,0,,mis
"I've been using Pandora for close to a decade. I've been paying for it for more than five years. I love it. I've got handcrafted playlists I've been working on for ages. And now  they're all gone. As of July 31, Pandora up and shut down the service with no reason, just a corny goodbye recording.      
",Romario,1,,mis
"I've included Lumosity in my daily routine, as I truly think these games challenge the mind and improve cognitive skills. Fun, yet challenging games with very little glitches   
",Romario,0,,mis
"I have being using Zillow for years and it's always great to see all the progress it as being making. Bravi keep up the awesome work     
",Romario,0,,mis
"However I love the smart predictions, lots of shortcuts, full word edits, and that they continue to make improvements.     
",Romario,0,,mis
"And in less than 24 hours they've released     
",Romario,0,,mis
"Why waste my life going to gyms to take them fairly when some lazy idiot can just gain remote access and boot me right after This is something you should have worked on fixing long ago so that gameplay is fair for everyone.     
",Romario,0,,mis
"Accurate nationwide views, excellent for travel. Does the job for me.    
",Romario,0,,mis
"I have one request though. Maybe add a straight line in the element section so that you can straighten something out or use it to decorate something, like connecting stars to make a constellation. Anyways just wanted to say that I recommend this app to everyone and that I love this app one more time. I hope you can make this a new element Love this app    
",Romario,1,,mis
"No reason why this app should not be on every smart phone    
",Romario,0,,mis
"...but I just can't. PvP is the only thing that will ever make me want to play this game again     
",Romario,1,,mis
"Having used Accuweather since inception, the best ever.  All the weather info needed   Against other weather apps, 4 stars mainly because of the annoying repetition of v10.01 update which has already been downloaded and update run    
",Romario,0,,mis
"I've only had it 2 days but I love it    
",Romario,0,,mis
"Good stuff all around.    
",Romario,0,,mis
"Strengthen your mind while taking a break during the day.    
",Romario,0,,mis
"So I changed my 1 star for a 5 star customer care and personal response time, but docked 1 area for having to purchase a new app as the solution to my problem... I did buy the one time pro feature option before even getting past the demo screen, that much new faith in this developer.     
",Romario,0,,mis
"This app is amazing I have been looking for a good inland app for the TN river. Every obstacle on the river was marked. I kept telling the crew how lucky we were that I stumbled on this the night before the trip. We had to complete the first leg at night and I honestly think this app got us to our first destination in one piece. Great job' Please keep it updated. What a lifesaver    
",Romario,0,,mis
"Fix the spoofer problem.  The game is no longer fun.  You took a broken system and made it worse.  It's WAY easier for spoofers to control gyms.    
",Romario,1,,mis
"when I first got my iPad, I downloaded Star Walk right away. It is a bless to look up the sky with the help of an amazing tool. Thank you guys for creating this app. Spectacular    
",Romario,0,,mis
"Recommended Only if you WANT a valid excuse to purchase a Nintendo game system like I recently did.     
",Romario,0,,mis
"Apart from the usual steps and exercises stuff which it tracks in great detail, I specially loved the way I can log my calories as it has almost all the foods I can think of stored in it. Previously I had to look up things and it got really tedious. I am better able to check my calorie count which I think is crucial for any weight loss program. The goal setting option is very good and an excellent motivator.    
",Romario,0,,mis
"This app is the bomb So glad I stumbled upon it. Makes editing photos a snap    
",Romario,0,,mis
"Caters to your tastes and the ads aren't so intrusive to ruin the experience. If you want to find great new music while relaxing or working, this is the way to go    
",Romario,0,,mis
"This is so much fun I love it     
",Romario,0,,mis
"I just downloaded the app so we shall see how things go All the reviews seemed great and being a mom of 3 little ones, I'm pretty sure I can fit 7 min into my schedule to take care of me    
",Romario,0,,mis
"Nov. 2015 update this app would be so much better if it supported SplitView Knocked it down to a 35 until it can take full advantage of the OS.     
",Romario,1,,mis
"Love using pandora i am a freshman i high school and everybody listens to all this modern day music.  I love old country so i love that i can put my headphones in and tune out all their trash. Thank you again    
",Romario,0,,mis
"I love this app,had the previous version but this is the best so far.    
",Romario,0,,mis
"As we entered PoGO, the system was janky, but wonderful Niantic stripped basic features and promised improvements in the future. The tracker used to list every pokemon within a 300yard radius. It was fantastic. Before that, it was EVEN BETTER. There were these little steps that told you how close you were to a pokemon. But then Niantic stripped all these features in leu of showing one pokemon that might be near a certain pokestop. And around when they implemented that they also added promoted pokestops at stores like sprint and starbucks. To top it off Trading and person versus person battles were promised at onset and never introduced.      
",Romario,1,,mis
"Good job, Niantic. You've screwed over so many of your players in the last week. Keep it up and you won't have any left. I'm certainly done with you, that's for sure.     
",Romario,0,,mis
"Got this for my little girl and she loves this APP. It's super magnificent she said.    
",Romario,0,,mis
"Ton of options to create your own brushes. Intuitive UI and they are working on making it better. You have options to save in different formats And I can record all my work through the app. I absolutely love it.    
",Romario,0,,mis
"You must try it     
",Romario,0,,mis
"Don't know what to think doesn't show a scan of your device. Heavy into wanting you to get their other apps. Very heavy     
",Romario,1,,mis
"I use this app in the Pacific Northwest, including the Columbia  Willamette rivers and so far I'm very impressed. I don't really have much to compare it to, but the charts are very detailed and so far extremely accurate.     
",Romario,0,,mis
"No you have to pay 10 just to get a little bit of Mario run. if you you want the real thing play the original Marios.no wonder they havent made a Mario game for the phone ever. And it has no replay ability     
",Romario,0,,mis
"I think I started using this around 25 weeks but it was a lifesaver I loved it for the reassurance and used it multiple times a day at the end just to make sure all was well with baby    
",Romario,0,,mis
"I cannot get over how many features that the app and FitBit have. So easy to use     
",Romario,0,,mis
"This app really made my life easy for listening offline music    
",Romario,0,,mis
"An easy to use comprehensive way to access weather information.    
",Romario,0,,mis
"I've tried the most popular keyboard, each for a week. G board was probably my favorite under this one. But the predictions weren't as good as swype.      
",Romario,0,,mis
"Good app. Seamless integration w Adobe on Mac.    
",Romario,0,,mis
"Love the Mario Games, so i'm glad to see Nintendo coming to the Smart phones now. This game is a must have for any true fan. Only issue i have is we need more levels. When are we going to get World 7 and World 8     
",Romario,1,,mis
"Love keeping up with what's happening in our area and where we plan on retiring ....    
",Romario,0,,mis
"Today and Yesterday, Two Articunos ran away from me because Niantic are not releasing Master Balls. Man I don't know why they're holding up future updates     
",Romario,0,,mis
"Userfriendly, easy to import, edit and organize files.    
",Romario,0,,mis
"Wow. This is a terrific translator. I've been using it for Spanish and German, and it's great. Also, it read my scribbles really well.    
",Romario,0,,mis
"No tablet or smart phone should be without this APP.    
",Romario,0,,mis
"Excellent health awareness tool    
",Romario,0,,mis
"Quick exercise in  out of the gym. You can stay fit with this App. Love it Highly recommended.    
",Romario,0,,mis
"This is honestly the best app for iPad artists. It's so accessible and has all the brushes artists need. I've tried several other iPad art apps and none really come close.    
",Romario,0,,mis
"It's hard enough getting 5 people to a raid even downtown in a city. I've done 8 legendary raids, and haven't caught any of them. The 23 catch rate devastating, and has taken the fun out of the game. Now that I've missed my chance at an Articuno, I'm not sure I want to keep playing.     
",Romario,0,,mis
"Download a PlayStation in like some of the songs that's what you hear on the on the open road. This is a great app.    
",Romario,0,,mis
"PLEASE send help to this app.    
",Romario,0,,mis
"iHeart Radio, here I come.     
",Romario,0,,mis
"I just started using my Fit Bit Charge 2 and with this app is is soo easy to understand and use. Great app and great product period.    
",Romario,0,,mis
"Classy move Google. Real nice.    
",Romario,0,,mis
"I have been using Lumosity for many years, and it is helping me keep my brain very active  LOVE IT    
",Romario,0,,mis
"The new algorithm for who in your email contact is unsecured really works nicely ... And Forbes mag should fix its data breach. Imagine, Steve Forbes.    
",Romario,1,,mis
"Gosh...challenging, and rewarding with a dose of appropriate frustration with regards to realizing I need the workout but would prefer to believe I don't. So, I have to rate this 5 given the simplicity, fun, and valuebenefit.     
",Romario,0,,mis
"I bought this despite the bad reviews because it was my favorite Android keyboard. Figured the problems couldn't be nearly as bad as the reviews made it out to be. Huge mistake, this keyboard is AWFUL.     
",Romario,0,,mis
"Waste of money.  Blame WIRED.     
",Romario,0,,mis
"This app provides very detailed, very current info on weather  specifically precipitation. So it's extremely useful for planning outdoor activities each day.    
",Romario,0,,mis
"I love how you can play anything    
",Romario,0,,mis
"Easy to use, very convenient    
",Romario,0,,mis
"I flip houses.   And this is my search bible     
",Romario,0,,mis
"If you fish or do any boating this is an app you need    
",Romario,0,,mis
"Great brain trainers  I really like this app.    
",Romario,0,,mis
"Very pleased with the app and the kids love it as well. They use it to search for objects in the sky and also like the included information on the object.    
",Romario,0,,mis
"A couple minutes later, I try again, with a different picture, and the exact same thing happens.     
",Romario,0,,mis
"Can't even detect my location    
",Romario,1,,mis
"Needs to be an option to pay monthly, or to open the deleted pictures and do something with them.     
",Romario,0,,mis
"When i got luminosity and typed in my birthdate it told me i was illegible to create an account. So, naturally i just thought it was because of the COPPA policy in the U.S where you have to be 13 to create an account on appswebsites like social media. But when i changed the year to make myself 13 it still said i was illegible. Um, what So it isn't the COPPA policy. You guys just won't allow younger kids to participate in using this app to grow their minds This app is rated 4 so i'm confused as to why the creators of luminosity would have an account age restriction that's pretty low.     
",Romario,0,,mis
"Had a few slow areas. ETA to LA 4.5 hours. 3 hours later she      
",Romario,0,,mis
"This is not in any way, shape, or form AV.     
",Romario,0,,mis
"All the basic functions you can find on other editing apps. If the only thing you want is to make your pictures ridiculous then go for it.     
",Romario,0,,mis
"There are lots of devices on line that you can buy that work great but this is not it.     
",Romario,0,,mis
"I love this app I have the Charge 2 and I love how you can get texts and phone calls. Also, I love how easy the app is to navigate.    
",Romario,0,,mis
"Excellent Portable, practical way to stay in shape without a lot of equipment. So great for when you are traveling. If 7 minutes is too short, repeat as many times as you like.    
",Romario,0,,mis
"Very helpful in many different ways,also in iCloud you don't have to buy again,my mom bought it and I just got it for free on my phone    
",Romario,0,,mis
"Great simple way to stay organized without the clutter    
",Romario,0,,mis
"Smart brain teaser games. Good to get the blood flowing between the ears.    
",Romario,0,,mis
"Can't do anything on the app anymore     
",Romario,0,,mis
"I've been trying to use this app for weeks....still nothing I bought a fetal Doppler and found her heartbeat instantly Don't waste your money Will be deleting this app today     
",Romario,0,,mis
"My mother had ALZ so really worry when I see loses but at 70 I know it is to be expected.     
",Romario,0,,mis
"Great app. Helps out a lot.    
",Romario,0,,mis
"I am literally lost without you.  You even reroute me when there's an accident  Lol and it's awesome to know one route is 5 minutes slower when I'm late to work.    
",Romario,0,,mis
"I have always loved and used this app. Please fix it.    
",Romario,0,,mis
